ALUNO,NOME_ALUNO,TURMA_PREF,SERIE,SIT,ALUNO_EMAIL,LEGAL_EMAIL
50230826,Noah Mendes,EConInf-3PMD,3,Pre-Mat,peixotoana-luiza@yahoo.com.br,da-pazcecilia@uol.com.br
50240254,Bruno Ferreira,EConInf-2PMB,2,Pre-Mat,hcosta@ig.com.br,emillycorreia@da.org
50240020,Gustavo Melo,EConInf-2PMA,2,Pre-Mat,ida-rosa@ribeiro.com,duarteluiz-otavio@ig.com.br
50250431,Lucca Fernandes,EConInf-1PMD,1,Pre-Mat,ida-conceicao@gmail.com,ana-julia71@ig.com.br
50240663,Paulo Silveira,EConInf-2PMC,2,Pre-Mat,isadoracavalcanti@uol.com.br,alicealmeida@bol.com.br
50250301,João Vitor da Rocha,EConPub-1PMA,1,Pre-Mat,enricofreitas@gmail.com,psouza@da.org
50241013,Maria Pinto,EConPub-2PMB,2,Pre-Mat,nataliafogaca@martins.com,wcostela@da.com
50250806,Beatriz Almeida,EConPub-1PMA,1,Pre-Mat,moraessarah@da.com,gomeseduardo@da.com
50250417,Emilly da Cruz,EConPub-1PMA,1,Pre-Mat,oliveiraluana@ig.com.br,mendesana-vitoria@yahoo.com.br
50250145,Dr. Emanuel Carvalho,EConPub-1PMA,1,Pre-Mat,omartins@silveira.org,mendeslara@hotmail.com
50240729,Ana Carolina Cardoso,EConQui-2PMA,2,Pre-Mat,da-cruzana-livia@nascimento.com,gabriela67@gomes.com
50230150,Nicole Freitas,EConQui-3PMA,3,Pre-Mat,pedro-henriquelopes@nunes.br,olivia15@rocha.br
50250949,Sr. Gustavo Henrique Cardoso,EConQui-1PMA,1,Pre-Mat,santosalicia@gmail.com,melojoao-lucas@da.br
50230882,Vitor Hugo Azevedo,EConACli-3PMA,3,Pre-Mat,nathan96@gomes.com,oda-costa@campos.net
50230214,Bruno Freitas,EConACli-3PMA,3,Pre-Mat,vitoriamoreira@silveira.br,luiz-miguel57@pereira.br
50250172,Murilo Moraes,EConInf-1PMC,1,Pre-Mat,oalmeida@ig.com.br,giovannacardoso@hotmail.com
50250759,Cauã Ferreira,EConInf-1PMB,1,Pre-Mat,igorda-conceicao@carvalho.br,alvesian@da.com
50240297,Joana Ferreira,EConInf-2PMC,2,Pre-Mat,fariasluana@ig.com.br,anthony42@bol.com.br
50230515,Vicente Fogaça,EConPub-3PMA,3,Pre-Mat,maria-claracampos@cunha.br,vitor26@bol.com.br
50240601,Matheus da Mota,EConPub-2PMB,2,Pre-Mat,nicolecosta@gmail.com,enzo18@barros.org
50230913,Bárbara Martins,EConPub-3PMA,3,Pre-Mat,ccunha@martins.br,vda-luz@costela.br
50250508,Dr. Leandro Caldeira,EConPub-1PMA,1,Pre-Mat,melissa94@ig.com.br,da-costaotavio@yahoo.com.br
50241021,Srta. Sofia Sales,EConPub-2PMB,2,Pre-Mat,mirellacosta@bol.com.br,lais55@uol.com.br
50230974,Rafaela Barbosa,EConQui-3PMA,3,Pre-Mat,maria-vitoria51@gmail.com,lorenzo22@da.com
50230193,Sr. Paulo Nunes,EConQui-3PMA,3,Reserva,luiz-henrique50@ribeiro.br,nascimentolaura@ig.com.br
50230399,Fernanda Peixoto,EConInf-3PMC,3,Pre-Mat,ramosheloisa@ig.com.br,cecilia21@ig.com.br
50250457,Ana Sales,EConInf-1PMD,1,Pre-Mat,qmonteiro@cavalcanti.com,luigi76@ig.com.br
50230983,Alana da Cruz,EConInf-3PMA,3,Pre-Mat,mourapedro@bol.com.br,santosana@lima.br
50240319,Dr. Emanuel Lima,EConInf-2PMC,2,Pre-Mat,juan49@almeida.br,omartins@cavalcanti.com
50250002,Ana Laura Teixeira,EConInf-1PMC,1,Pre-Mat,isabelly27@bol.com.br,yasmincardoso@cunha.com
50250114,Guilherme Pereira,EConInf-1PMA,1,Pre-Mat,giovanna28@gmail.com,moreirastella@uol.com.br
50250420,Dr. Thomas Porto,EConInf-1PMC,1,Pre-Mat,mendesbreno@hotmail.com,pietrogoncalves@bol.com.br
50250018,Sr. Cauê da Luz,EConInf-1PMD,1,Pre-Mat,carolinearagao@da.com,sfarias@da.com
50230612,Sra. Isabelly Nascimento,EConInf-3PMB,3,Pre-Mat,freitasluiz-fernando@gmail.com,leonardo83@moura.org
50250249,Ryan Moraes,EConInf-1PMD,1,Pre-Mat,fernanda65@bol.com.br,bda-mota@barros.com
50240997,Caroline Alves,EConAdm-2PMB,2,Pre-Mat,pedro-miguel52@lima.com,zgomes@gmail.com
50230336,Kevin das Neves,EConAdm-3PMA,3,Pre-Mat,raulda-paz@yahoo.com.br,esther31@monteiro.org
50230825,Dr. Kevin Dias,EConAdm-3PMA,3,Pre-Mat,kamilly12@lopes.com,maite13@bol.com.br
50250813,Sophia Peixoto,EConAdm-1PMB,1,Pre-Mat,efarias@uol.com.br,ramosana-julia@hotmail.com
50230945,Dr. Luiz Otávio Rezende,EConEletr-3PMA,3,Pre-Mat,silvamaria-luiza@da.br,hcorreia@ribeiro.org
50250802,Maria Vitória Costa,EConEletr-1PMA,1,Pre-Mat,nmoraes@lima.br,marcelo91@freitas.net
50230716,Yasmin Almeida,EConEletr-3PMA,3,Pre-Mat,nbarros@uol.com.br,carlos-eduardo77@fernandes.net
50240940,Brenda Rocha,EConEletr-2PMA,2,Pre-Mat,ana-juliavieira@da.net,vitoriadas-neves@moraes.br
50240512,Heloísa Pinto,EConEletr-2PMA,2,Pre-Mat,ana-vitoria73@bol.com.br,emanuella79@dias.com
50250288,Diogo da Luz,EConEletr-1PMA,1,Pre-Mat,camposalana@araujo.br,gustavo30@uol.com.br
50240950,Natália Campos,EConEletr-2PMA,2,Pre-Mat,caldeiradavi-luiz@hotmail.com,peixotodavi@hotmail.com
50250275,Lara Rezende,EConInf-1PMC,1,Pre-Mat,eduardasales@yahoo.com.br,jazevedo@campos.org
50240713,Joaquim Aragão,EConInf-2PMD,2,Pre-Mat,duartejoao@yahoo.com.br,luiz-felipeazevedo@peixoto.br
50250175,Sophie Peixoto,EConInf-1PMD,1,Pre-Mat,fernandoda-rosa@hotmail.com,nathanda-luz@costa.br
50240696,Srta. Ana Vitória Oliveira,EConPub-2PMA,2,Pre-Mat,maria-sophiasilveira@sales.com,leonardo90@jesus.br
50240004,Lavínia Rocha,EConPub-2PMA,2,Pre-Mat,noahmoura@nascimento.com,snovaes@uol.com.br
50240676,Lorenzo Duarte,EConPub-2PMA,2,Pre-Mat,esther45@hotmail.com,fariaslaura@yahoo.com.br
50250615,Matheus Novaes,EConPub-1PMA,1,Pre-Mat,joana25@uol.com.br,rrodrigues@uol.com.br
50250767,Erick Teixeira,EConQui-1PMA,1,Pre-Mat,luana04@souza.br,alice62@ferreira.br
50230584,Beatriz Jesus,EConQui-3PMA,3,Pre-Mat,alicerodrigues@gomes.com,tmelo@hotmail.com
50240752,João Felipe Freitas,EConQui-2PMA,2,Pre-Mat,dda-paz@uol.com.br,cardosopedro-lucas@silva.net
50230743,Pedro Miguel Rocha,EConACli-3PMB,3,Pre-Mat,caldeirajulia@campos.com,da-rochaisabel@novaes.br
50230160,Srta. Camila Fernandes,EConAdm-3PMA,3,Pre-Mat,castroalexandre@moreira.com,kpeixoto@ramos.br
50240721,Sra. Ana Júlia Monteiro,EConAdm-2PMB,2,Pre-Mat,hsilveira@bol.com.br,xmartins@melo.br
50240965,Felipe Rodrigues,EConAdm-2PMB,2,Pre-Mat,dcarvalho@campos.br,juliagomes@ig.com.br
50250214,Raquel Azevedo,EConAdm-1PMB,1,Pre-Mat,wpinto@vieira.br,alvesmurilo@hotmail.com
50240016,Joaquim Sales,EConEletr-2PMA,2,Pre-Mat,rafaela96@uol.com.br,rebecacampos@ig.com.br
50250116,Sr. Felipe Nascimento,EConEletr-1PMA,1,Pre-Mat,ramospedro@bol.com.br,kfreitas@oliveira.com
50240602,Pedro Lucas Cavalcanti,EConEletr-2PMA,2,Pre-Mat,emillypinto@martins.org,luana09@yahoo.com.br
50250415,Dr. Vicente Cavalcanti,EConInf-1PMD,1,Pre-Mat,ana-carolina20@nascimento.br,aragaolais@ig.com.br
50230289,Murilo Barros,EConInf-3PMB,3,Pre-Mat,pedro-lucassales@moura.br,alana13@hotmail.com
50230641,Enzo Gabriel Fogaça,EConInf-3PMC,3,Pre-Mat,oliveirarafael@costa.br,paragao@aragao.com
50230558,Eduardo Lima,EConInf-3PMB,3,Pre-Mat,larissa32@fogaca.org,arthur61@hotmail.com
50240599,Samuel da Mota,EConInf-2PMA,2,Pre-Mat,das-nevesevelyn@caldeira.com,sporto@da.com
50230546,Levi Peixoto,EConInf-3PMB,3,Pre-Mat,correiaana-luiza@uol.com.br,joao-gabriel93@gmail.com
50240806,Alícia Moreira,EConInf-2PMC,2,Pre-Mat,qjesus@ig.com.br,bporto@bol.com.br
50230422,Ana Vitória Ferreira,EConInf-3PMC,3,Pre-Mat,valentina93@yahoo.com.br,xsales@gmail.com
50240257,Ana Farias,EConInf-2PMB,2,Pre-Mat,hsantos@ig.com.br,da-luzstephany@hotmail.com
50230542,Camila Monteiro,EConInf-3PMB,3,Pre-Mat,pcarvalho@gmail.com,alvescaio@hotmail.com
50240827,Emanuel Moraes,EConInf-2PMD,2,Pre-Mat,daniel99@alves.com,peixotomarcos-vinicius@uol.com.br
50240845,André da Rocha,EConInf-2PMD,2,Pre-Mat,vitor-gabrielsantos@pinto.br,calves@monteiro.net
50250006,Ana Júlia Aragão,EConInf-1PMD,1,Pre-Mat,joaomendes@alves.br,andreribeiro@da.br
50240737,Anthony Moraes,EConQui-2PMA,2,Pre-Mat,luiz-otaviodas-neves@azevedo.br,maria-luiza42@uol.com.br
50230467,Rebeca Duarte,EConACli-3PMA,3,Pre-Mat,isaac26@yahoo.com.br,smartins@uol.com.br
50230430,Henrique Moura,EConACli-3PMA,3,Pre-Mat,ppeixoto@da.br,fogacavinicius@silveira.net
50241025,Erick Porto,EConACli-2PMA,2,Pre-Mat,esantos@moraes.com,vitor-gabriel56@jesus.com
50240648,Alana da Cunha,EConACli-2PMA,2,Pre-Mat,ana-luizaviana@yahoo.com.br,moraescecilia@duarte.net
50240295,Otávio da Cunha,EConACli-2PMB,2,Pre-Mat,jesusbeatriz@ramos.com,matheussantos@pires.br
50250215,Cauã Peixoto,EConACli-1PMA,1,Pre-Mat,ksilva@yahoo.com.br,poliveira@martins.net
50250446,Maria Sophia Cardoso,EConACli-1PMB,1,Pre-Mat,pietramoura@da.com,ana-vitoria06@gmail.com
50240231,Dra. Alice Viana,EConACli-2PMA,2,Pre-Mat,lcavalcanti@porto.net,aragaodavi@yahoo.com.br
50250223,Sr. Kevin Gonçalves,EConACli-1PMB,1,Pre-Mat,ana-juliaporto@gmail.com,qpinto@cardoso.br
50250954,Joaquim Barbosa,EConACli-1PMC,1,Pre-Mat,krezende@moura.com,ana-liviabarbosa@ribeiro.net
50250295,Brenda da Luz,EConACli-1PMA,1,Pre-Mat,sda-costa@aragao.br,uda-luz@fogaca.org
50240328,Bianca Vieira,EConInf-2PMA,2,Pre-Mat,nunesmaria-julia@goncalves.com,yuricarvalho@da.com
50250174,Maria Luiza Nunes,EConInf-1PMA,1,Pre-Mat,scardoso@melo.com,rmoura@yahoo.com.br
50240140,Mariane Cunha,EConInf-2PMD,2,Pre-Mat,castrohelena@yahoo.com.br,maysa53@hotmail.com
50250517,Ryan Martins,EConInf-1PMB,1,Pre-Mat,scardoso@campos.br,pmonteiro@moura.org
50250202,Sarah Pires,EConInf-1PMC,1,Pre-Mat,ana-laura25@alves.net,ana-carolinasilva@bol.com.br
50250701,Júlia Rezende,EConInf-1PMD,1,Pre-Mat,raquel74@ig.com.br,maria-fernandaduarte@hotmail.com
50250341,Vinicius Nascimento,EConInf-1PMC,1,Pre-Mat,maria-luiza04@almeida.net,murilo32@cunha.com
50240892,Benício Azevedo,EConInf-2PMA,2,Reserva,qmelo@novaes.com,teixeirafernando@hotmail.com
50250527,Gabrielly Moreira,EConInf-1PMA,1,Pre-Mat,carlos-eduardo06@yahoo.com.br,maria-clarasales@uol.com.br
50240143,Pietra Ramos,EConInf-2PMA,2,Pre-Mat,wpires@gmail.com,olivia37@cardoso.br
50240722,Pietra da Costa,EConPub-2PMA,2,Pre-Mat,laurada-paz@hotmail.com,isabel11@ig.com.br
50250982,Alana Caldeira,EConAdm-1PMB,1,Pre-Mat,melissada-mota@ig.com.br,marcela68@uol.com.br
50240088,Evelyn Almeida,EConAdm-2PMB,2,Pre-Mat,bryanmonteiro@campos.br,lauraaragao@ig.com.br
50240582,Luiz Henrique Nascimento,EConAdm-2PMB,2,Pre-Mat,odas-neves@cavalcanti.com,alexandremoreira@uol.com.br
50240968,Enzo Jesus,EConAdm-2PMB,2,Pre-Mat,julia41@bol.com.br,maria-vitoriabarbosa@farias.com
50240287,Maria Fernanda Rocha,EConAdm-2PMA,2,Pre-Mat,oliveiraluiz-miguel@lopes.net,fogacalevi@uol.com.br
50240687,Heloísa Vieira,EConAdm-2PMA,2,Pre-Mat,lucasbarbosa@da.br,yagopeixoto@goncalves.net
50240177,Ana Luiza Souza,EConAdm-2PMB,2,Pre-Mat,arezende@uol.com.br,stephany63@yahoo.com.br
50250362,Kaique Moura,EConAdm-1PMA,1,Pre-Mat,vianamariane@bol.com.br,ccarvalho@da.com
50250020,Renan Sales,EConEletr-1PMA,1,Pre-Mat,ribeirosarah@uol.com.br,lfernandes@uol.com.br
50250704,Melissa Rodrigues,EConEletr-1PMA,1,Pre-Mat,mfernandes@bol.com.br,caiobarros@goncalves.br
50250437,Maria Luiza Cunha,EConEletr-1PMA,1,Pre-Mat,joaquim20@uol.com.br,maria-luiza12@goncalves.com
50230990,Bruno Martins,EConInf-3PMC,3,Pre-Mat,milenaviana@yahoo.com.br,julianavieira@das.br
50230386,Sr. Kaique da Luz,EConInf-3PMC,3,Pre-Mat,kfogaca@ig.com.br,emanuel31@uol.com.br
50230624,Renan da Paz,EConInf-3PMB,3,Pre-Mat,vicente01@da.net,ana-sophiacostela@martins.br
50250014,Levi Gonçalves,EConInf-1PMC,1,Pre-Mat,laura58@da.com,diego85@oliveira.br
50240533,Alícia Costela,EConInf-2PMB,2,Pre-Mat,henriquepereira@gmail.com,mendesmariane@ig.com.br
50250672,Yuri das Neves,EConInf-1PMA,1,Pre-Mat,joao-miguelda-paz@uol.com.br,gomesraul@bol.com.br
50250797,Gabrielly Ribeiro,EConInf-1PMB,1,Pre-Mat,bnogueira@silveira.com,da-mataana-livia@pereira.com
50240070,Luiz Henrique Souza,EConInf-2PMB,2,Pre-Mat,antoniooliveira@santos.com,enzo-gabrielcosta@yahoo.com.br
50250645,Gabrielly da Rosa,EConInf-1PMB,1,Pre-Mat,kevindas-neves@das.com,ana-carolinamendes@pereira.org
50240158,Amanda Viana,EConInf-2PMD,2,Pre-Mat,blima@gmail.com,da-costaisabelly@jesus.com
50250889,Caroline da Rocha,EConInf-1PMB,1,Pre-Mat,ucardoso@ig.com.br,meloalana@hotmail.com
50240794,Dr. Benício Mendes,EConAdm-2PMA,2,Pre-Mat,djesus@hotmail.com,luiz-henriqueporto@rodrigues.org
50250399,Dr. Enrico Cavalcanti,EConAdm-1PMB,1,Pre-Mat,giovannalima@bol.com.br,das-nevesvalentina@ig.com.br
50250670,Carlos Eduardo Fernandes,EConAdm-1PMA,1,Pre-Mat,gda-cunha@hotmail.com,nunesmaite@costa.org
50250370,Dr. Benício Duarte,EConAdm-1PMA,1,Pre-Mat,cda-luz@bol.com.br,hcastro@yahoo.com.br
50240203,Dr. Emanuel da Cruz,EConAdm-2PMA,2,Pre-Mat,agathada-mota@bol.com.br,peixotodavi-lucca@bol.com.br
50240300,Sr. Gustavo Henrique Nunes,EConAdm-2PMA,2,Pre-Mat,diasenzo-gabriel@costela.net,cunhalucas@da.br
50230218,Marina da Luz,EConInf-3PMD,3,Pre-Mat,pedro-lucas86@ig.com.br,piresluiz-gustavo@cunha.br
50240486,Rafaela Martins,EConInf-2PMD,2,Pre-Mat,blima@da.org,eloahsilva@silveira.net
50240611,Maria Clara Caldeira,EConInf-2PMA,2,Pre-Mat,novaesdiogo@hotmail.com,gabriel16@martins.net
50230132,Stella Ribeiro,EConInf-3PMA,3,Pre-Mat,silvamaria-luiza@ig.com.br,ucaldeira@uol.com.br
50240189,Enzo Carvalho,EConInf-2PMB,2,Pre-Mat,bcosta@da.br,joaquimmonteiro@ig.com.br
50240959,Bernardo Cardoso,EConACli-2PMB,2,Pre-Mat,nalmeida@oliveira.com,evelynviana@hotmail.com
50240400,Rafael Almeida,EConACli-2PMB,2,Pre-Mat,alanada-conceicao@viana.br,correiacaio@farias.br
50250375,Yago Cardoso,EConACli-1PMC,1,Pre-Mat,nathan27@yahoo.com.br,sabrinadias@fogaca.com
50250548,Caroline Monteiro,EConACli-1PMA,1,Pre-Mat,gvieira@ig.com.br,alvesjoao-gabriel@costela.com
50250580,Nicolas Farias,EConACli-1PMB,1,Pre-Mat,ana-julia86@campos.br,nunesbruna@mendes.br
50250169,Luiz Fernando Castro,EConACli-1PMA,1,Pre-Mat,leandropereira@gmail.com,emanuella63@hotmail.com
50250347,Sr. Henrique Viana,EConACli-1PMA,1,Pre-Mat,mteixeira@pinto.com,lmendes@uol.com.br
50230305,Eduarda Teixeira,EConPub-3PMA,3,Pre-Mat,amandamelo@uol.com.br,pporto@bol.com.br
50230088,Alana da Conceição,EConPub-3PMA,3,Pre-Mat,fbarbosa@ig.com.br,ppeixoto@yahoo.com.br
50230307,Camila Martins,EConPub-3PMA,3,Pre-Mat,brenda85@cardoso.br,rochatheo@uol.com.br
50250387,Manuela Porto,EConPub-1PMA,1,Pre-Mat,vitor-gabrielsales@monteiro.com,andre49@araujo.net
50240511,Sr. Nicolas Barbosa,EConPub-2PMA,2,Pre-Mat,barbosaana-luiza@gmail.com,cardosoisabel@fogaca.com
50230186,Vitor Azevedo,EConQui-3PMA,3,Pre-Mat,marianepereira@gmail.com,igomes@yahoo.com.br
50230608,Ana Laura Viana,EConQui-3PMA,3,Pre-Mat,ana-beatriz15@duarte.org,emanuel85@jesus.net
50240552,Joaquim Freitas,EConQui-2PMA,2,Pre-Mat,ferreiramarcela@pinto.com,enascimento@gmail.com
50240661,Samuel da Luz,EConQui-2PMA,2,Pre-Mat,mirellabarbosa@da.com,claracorreia@hotmail.com
50240333,Vicente Lopes,EConACli-2PMB,2,Pre-Mat,pedro-lucas51@hotmail.com,sduarte@barbosa.br
50250281,Pietra da Cruz,EConACli-1PMC,1,Pre-Mat,matheusda-rocha@correia.net,julia81@gmail.com
50230987,Leonardo Ramos,EConInf-3PMA,3,Pre-Mat,jmendes@ribeiro.br,eribeiro@uol.com.br
50240364,Alexia Santos,EConInf-2PMD,2,Pre-Mat,alexandreda-cruz@hotmail.com,ffernandes@bol.com.br
50230648,Ana Beatriz Ramos,EConInf-3PMB,3,Pre-Mat,alvesbernardo@hotmail.com,carlos-eduardo77@hotmail.com
50230986,Ana Lívia Jesus,EConInf-3PMA,3,Pre-Mat,lucas-gabriel52@uol.com.br,bmoreira@aragao.com
50230672,Thomas Fogaça,EConInf-3PMB,3,Pre-Mat,caue60@da.com,leticia32@hotmail.com
50230876,Gabriela da Conceição,EConInf-3PMD,3,Pre-Mat,rodrigogomes@bol.com.br,wmartins@uol.com.br
50230108,Lavínia das Neves,EConInf-3PMA,3,Pre-Mat,salesana-vitoria@bol.com.br,wda-rosa@yahoo.com.br
50240657,Rodrigo Pinto,EConInf-2PMC,2,Pre-Mat,raulpereira@da.com,caua39@bol.com.br
50230142,Maria Luiza da Costa,EConInf-3PMA,3,Pre-Mat,marianeferreira@cardoso.com,goncalvesmaysa@da.br
50230027,Marcelo Nogueira,EConInf-3PMA,3,Pre-Mat,levimelo@aragao.com,ian04@rodrigues.org
50240246,Luiza da Costa,EConPub-2PMB,2,Pre-Mat,umoura@da.com,fernandofernandes@da.org
50230563,Srta. Emanuelly Campos,EConPub-3PMA,3,Pre-Mat,emartins@gmail.com,gabrielly18@ig.com.br
50240307,Brenda Peixoto,EConPub-2PMA,2,Pre-Mat,nogueiradavi-lucca@almeida.br,cardosomaria-julia@lima.com
50250578,João Guilherme Ramos,EConQui-1PMA,1,Pre-Mat,rodrigo29@da.com,da-cruzmarcelo@bol.com.br
